Date,ID,Source,Content,Username,Location,Verified,Likes,Retweets,Place
2022-03-05 08:21:28+00:00,1.50E+18,Twitter for Android,"#NJAARevolution
Maskini atazidi kuwa maskini Hadi lini?????
@UhaiWetu @article19org
Tumechoka,Tuko Njaa 📢📢📢
@NAssemblyKE Punguza bei ya Bidhaa
#lowerfoodprices 
Tumbo Kwanza https://t.co/SilpYAjiDN",MutheuJoan1,Kenya,FALSE,7,9,
2022-03-05 08:18:58+00:00,1.50E+18,Twitter for Android,"A nation that cannot feed its highly taxed people is a failed nation
#NJAARevolution
#lowerfoodprices 
@UhaiWetu @43Social @article19org @UN @NAssemblyKE @2LifeCampaign",kihika_kimani,"Nakuru, Kenya",FALSE,10,11,
2022-03-05 08:12:22+00:00,1.50E+18,Twitter for Android,It's ironic that those planning for this election are seated somewhere in big hotels while I the common mwananchi I will stand on the sun to vote while hungry . I won't vote until I am fed. Tumbo kwanza @Halimabakari13 @OrengoDennis @WuodApondi #lowerfoodprices #NjaaRevolution https://t.co/o9aPVcCh0F,LydiaKaranja13,,FALSE,37,17,
2022-03-05 08:10:11+00:00,1.50E+18,Twitter Web App,"#lowerfoodprices 
#njaarevolution
@Nassemblyke
@uhaiwetu
@article19",violet_firetess,"Nairobi, Kenya",FALSE,10,12,
2022-03-05 08:02:26+00:00,1.50E+18,Twitter for Android,"#NJAARevolution 
#lowerfoodprices 
@NAssemblyKE",MutheuJoan1,Kenya,FALSE,6,9,
2022-03-05 07:59:35+00:00,1.50E+18,Twitter Web App,"#lowerfoodprices @UhaiWetu  
@Nassemblyke #NJAARevolution
How comes ballot boxes zinafika turkana lakini chakula is where they draw the line https://t.co/3wDPpiqeI5",Kamalex_Kimani,Nairobi City,FALSE,1,0,
2022-03-05 07:50:05+00:00,1.50E+18,Twitter for Android,"I can't be in a queue to vote while I hungry, I got rights and they should be implemented @Amillo23vuvu @Christytina89 @UhaiWetu @Halimabakari13 @KasinaMaryanne #lowerfoodprices #NjaaRevolution https://t.co/CCQ6PdSsFi",LydiaKaranja13,,FALSE,18,14,
2022-03-05 07:49:27+00:00,1.50E+18,Twitter for Android,"You can't promise a great future with a broken present..The state of the economy and the hiked prices of basic commodities is posing a great challenge to the nation as whole and more so the informal settlement
#NJAARevolution
#lowerfoodprices @Naomi2908 @Marcelle0207 @UhaiWetu",FoundationGf,Mathare Nairobi,FALSE,11,16,
2022-03-05 07:42:09+00:00,1.50E+18,Twitter for Android,"Basic needs is a right of human beings.The hiked prices of basic needs violates  social security protection to human beings under the Article 43 of the kenyan Constitution
#NJAARevolution
#lowerfoodprices @UhaiWetu @Naomi2908 @MathareF  @IJMUK @OkoaUchumi_KE @Catherinekihik1 https://t.co/FoNQdnE13e",FoundationGf,Mathare Nairobi,FALSE,24,28,
2022-03-05 07:33:06+00:00,1.50E+18,Twitter for Android,"Yaani after tumesema #lowerfoodprices 
Cooking oil prices ikaongezeka na 50/-
#NJAARevolution
 @UhaiWetu 
@NAssemblyKE https://t.co/lHzwZolyLv",MutheuJoan1,Kenya,FALSE,10,11,
2022-03-05 07:32:15+00:00,1.50E+18,Twitter for Android,"So, an egg goes for 13 bob. 

People! Apt your games #lowerfoodprices is not happening anytime soon. Start demanding salary increment from your employers.",AgerFreddy,Nairobi,FALSE,0,0,
2022-03-05 07:23:44+00:00,1.50E+18,Twitter for Android,"The state of middle class is getting bout of hands #lowerfoodprices  #NJAARevolution
@OkoaUchumi_KE @AellaSpeaks @The_Umma_Action @UhaiWetu @StateHouseKenya https://t.co/ftO3ooZAZg",Catherinekihik1,"Nairobi, Kenya",FALSE,12,12,
2022-03-05 07:21:58+00:00,1.50E+18,Twitter for Android,"Lower the prices of basic commodities...Don't promise kenyans a great future with a broken present..
#NJAARevolution
#lowerfoodprices 
@StateHouseKenya 
@Nassemblyke
@uhaiwetu
@article19
@MinistryOfAg https://t.co/oPTWncMqc8",Catherinekihik1,"Nairobi, Kenya",FALSE,22,25,
2022-03-05 06:24:36+00:00,1.50E+18,Twitter for Android,@GBasele @JulianiKenya This should also be Kenyans trending song now....against a government and opposition that eats her people..... #lowerfoodprices,AlisonEpil1,"Nakuru, Kenya",FALSE,2,1,
2022-03-05 06:01:58+00:00,1.50E+18,Twitter for Android,@StateHouseKenya Lol! What food security?? Do you live in Kenya? What have you done about #lowerfoodprices and now you talk of agendas?  Such a joke......,KhadijaKhalfan4,Newtown,FALSE,0,0,
2022-03-05 04:47:27+00:00,1.50E+18,Twitter for Android,"First, it was cooking oil prices. Now it is cooking gas prices. Who knows what it will be next? Kwani wanataka tulale njaa? 😒 #lowerfoodprices",call_me__Santa,Proudly African +254 🇰🇪🇰🇪,FALSE,0,0,
2022-03-05 04:43:16+00:00,1.50E+18,Twitter for Android,@mebs018 #lowerfoodprices,olivernolly2,"Nairobi, Kenya",FALSE,1,0,
2022-03-05 02:24:27+00:00,1.50E+18,Twitter for Android,"@ItsMutai Should KRA allow #Client13173 to continue running the country and strike a deal with the opposition party, which BTW, they are in bed with, to #lowerfoodprices https://t.co/YnM3PPIUf8",KePolka,"South East, England",FALSE,1,2,
2022-03-04 21:11:15+00:00,1.50E+18,Twitter for Android,@naivas_kenya @UngaWaDola So 151 has become a favourabe discount. #lowerfoodprices,Wilfred37370658,,FALSE,0,0,
